race;pid;finish;dist;dpos;alt;time
R00001;P000069;1;42.96;3034;1935;6.71
R00001;P000069;1;54.11;3687;1550;9.48
R00001;P000069;1;58.12;3725;1088;9.94
R00001;P000069;1;59.33;3725;1063;10.04
R00001;P000070;1;0;0;1064;0.0
R00001;P000070;1;14.03;1229;1919;1.96
R00001;P000070;1;22.4;1410;1615;2.81
R00001;P000070;1;27.94;1444;815;3.44
R00001;P000070;1;42.96;3034;1935;7.02
R00001;P000070;1;54.11;3687;1550;9.39
R00001;P000070;1;58.12;3725;1088;9.94
R00001;P000070;1;59.33;3725;1063;10.05
R00001;P000071;1;0;0;1064;0.0
R00001;P000071;1;14.03;1229;1919;1.55
R00001;P000071;1;22.4;1410;1615;2.23
R00001;P000071;1;27.94;1444;815;2.69
R00001;P000071;1;42.96;3034;1935;4.97
R00001;P000071;1;54.11;3687;1550;6.66
R00001;P000071;1;58.12;3725;1088;7.01
R00001;P000071;1;59.33;3725;1063;7.11
R00001;P000072;1;0;0;1064;0.0
R00001;P000072;1;14.03;1229;1919;1.96
R00001;P000072;1;22.4;1410;1615;2.85
R00001;P000072;1;27.94;1444;815;3.54
R00001;P000072;1;42.96;3034;1935;6.7
R00001;P000072;1;54.11;3687;1550;9.39
R00001;P000072;1;58.12;3725;1088;9.92
R00001;P000072;1;59.33;3725;1063;10.07
R00001;P000073;1;0;0;1064;0.0
R00001;P000073;1;14.03;1229;1919;2.63
R00001;P000073;1;22.4;1410;1615;3.17
R00001;P000073;1;27.94;1444;815;3.81
R00001;P000073;1;42.96;3034;1935;6.8
R00001;P000073;1;54.11;3687;1550;9.41
R00001;P000073;1;58.12;3725;1088;9.95
R00001;P000073;1;59.33;3725;1063;10.07
R00001;P000074;1;0;0;1064;0.0
R00001;P000074;1;14.03;1229;1919;2.62
R00001;P000074;1;22.4;1410;1615;3.17
